Average Max-Consensus =  10.12%

Maximum Max-Consensus =  16.67%

Average Constant-Distinct Ratio =  16.30%

Maximum Constant-Distinct Ratio =  35.48%

Guessability =  27.32%

 Referent  POP       Max-Con     CDR        CGR      AR*(Jac)   AR*(Sor)   AR*(Over)    IL_R
    1     0.0972     0.1667     0.1500  1968.3743     0.0300     0.0300     0.0300     0.1667
    2     0.0398     0.0741     0.1064  2493.1601     0.0070     0.0070     0.0070     0.0741
    3     0.0617     0.1111     0.1842  2032.7797     0.0245     0.0245     0.0245     0.1111
    4     0.0192     0.0370     0.1489  2582.3322     0.0049     0.0049     0.0049     0.0370
    5     0.0293     0.0556     0.0851  2493.1601     0.0070     0.0070     0.0070     0.0556
    6     0.0617     0.1111     0.1395  2168.6575     0.0154     0.0154     0.0154     0.1111
    7     0.0398     0.0741     0.1304  2466.6918     0.0077     0.0077     0.0077     0.0741
    8     0.0398     0.0741     0.1628  2337.0838     0.0112     0.0112     0.0112     0.0741
    9     0.0398     0.0741     0.0851  2466.6918     0.0077     0.0077     0.0077     0.0741
   10     0.0506     0.0926     0.1795  2099.3554     0.0196     0.0196     0.0196     0.0926
   11     0.0732     0.1296     0.3548  1925.1845     0.0342     0.0342     0.0342     0.1296
   12     0.0732     0.1296     0.2000  1960.9317     0.0307     0.0307     0.0307     0.1296
   13     0.0972     0.1667     0.1765  1826.6462     0.0447     0.0447     0.0447     0.1667
   14     0.0732     0.1296     0.1667  1911.4485     0.0356     0.0356     0.0356     0.1296
   15     0.0506     0.0926     0.1750  2132.2307     0.0175     0.0175     0.0175     0.0926
